record_id,node_key,display_name,stack_bb,spot_family,hero_position,villain_position,player_count,action_context,allowed_actions,app_status,source_class,source_confidence,range_cells_status,import_decision,trainer_default_visibility,owner_review_required,approval_target,population_strategy_summary,latest_research_alignment,simplified_live_rule,risk_flags,review_hand_focus,codex_action,codex_notes,field_integrity,created_date
RFI_15BB_UTG_VS_NONE_rfi_15bb_utg_bba,rfi_15bb_utg_bba,rfi 15bb UTG vs NONE,15,rfi,UTG,NONE,BBA_APP_DEFAULT,MTT_BBA_PRE_FLOP,"JAM,FOLD",approved,approved_snapshot,HIGH_APPROVED,FULL_169_RESOLVED,KEEP_APPROVED_DO_NOT_OVERWRITE,VISIBLE_DEFAULT,FALSE,OWNER_ALREADY_APPROVED,"Approved RFI baseline for UTG at 15bb. Use as main default. Live exploit: open disciplined early, steal wider late when blinds overfold.","2025-2026 public sources support a GTO-baseline-plus-live-population approach: late-position steal pressure when blinds overfold, tighter responses to large opens and value-heavy 3-bets, linear/value-heavy 3-betting versus under-4-betting pools, and avoiding static push/fold-only assumptions.",Open chart baseline; widen CO/BTN/SB only when blinds are tight; tighten early if table is 3-bet active.,NO_MAJOR_CURRENT_FLAG,"AJo,KQo,A5s,A9s,K9s,77,55,ATo,KJo,QJs",CREATE_OR_UPDATE_REVIEW_SCENARIO_RECORD_ONLY,SAFE_TO_SHOW_FOR_REVIEW_WITH_STATUS_LABELS,NO_EMPTY_FIELDS_USE_NOT_APPLICABLE_OR_SOURCE_REQUIRED,2026-05-20
RFI_15BB_HJ_VS_NONE_rfi_15bb_hj_bba,rfi_15bb_hj_bba,rfi 15bb HJ vs NONE,15,rfi,HJ,NONE,BBA_APP_DEFAULT,MTT_BBA_PRE_FLOP,"JAM,FOLD",approved,approved_snapshot,HIGH_APPROVED,FULL_169_RESOLVED,KEEP_APPROVED_DO_NOT_OVERWRITE,VISIBLE_DEFAULT,FALSE,OWNER_ALREADY_APPROVED,"Approved RFI baseline for HJ at 15bb. Use as main default. Live exploit: open disciplined early, steal wider late when blinds overfold.","2025-2026 public sources support a GTO-baseline-plus-live-population approach: late-position steal pressure when blinds overfold, tighter responses to large opens and value-heavy 3-bets, linear/value-heavy 3-betting versus under-4-betting pools, and avoiding static push/fold-only assumptions.",Open chart baseline; widen CO/BTN/SB only when blinds are tight; tighten early if table is 3-bet active.,NO_MAJOR_CURRENT_FLAG,"AJo,KQo,A5s,A9s,K9s,77,55,ATo,KJo,QJs",CREATE_OR_UPDATE_REVIEW_SCENARIO_RECORD_ONLY,SAFE_TO_SHOW_FOR_REVIEW_WITH_STATUS_LABELS,NO_EMPTY_FIELDS_USE_NOT_APPLICABLE_OR_SOURCE_REQUIRED,2026-05-20
RFI_15BB_CO_VS_NONE_rfi_15bb_co_bba,rfi_15bb_co_bba,rfi 15bb CO vs NONE,15,rfi,CO,NONE,BBA_APP_DEFAULT,MTT_BBA_PRE_FLOP,"JAM,FOLD",approved,approved_snapshot,HIGH_APPROVED,FULL_169_RESOLVED,KEEP_APPROVED_DO_NOT_OVERWRITE,VISIBLE_DEFAULT,FALSE,OWNER_ALREADY_APPROVED,"Approved RFI baseline for CO at 15bb. Use as main default. Live exploit: open disciplined early, steal wider late when blinds overfold.","2025-2026 public sources support a GTO-baseline-plus-live-population approach: late-position steal pressure when blinds overfold, tighter responses to large opens and value-heavy 3-bets, linear/value-heavy 3-betting versus under-4-betting pools, and avoiding static push/fold-only assumptions.",Open chart baseline; widen CO/BTN/SB only when blinds are tight; tighten early if table is 3-bet active.,NO_MAJOR_CURRENT_FLAG,"AJo,KQo,A5s,A9s,K9s,77,55,ATo,KJo,QJs",CREATE_OR_UPDATE_REVIEW_SCENARIO_RECORD_ONLY,SAFE_TO_SHOW_FOR_REVIEW_WITH_STATUS_LABELS,NO_EMPTY_FIELDS_USE_NOT_APPLICABLE_OR_SOURCE_REQUIRED,2026-05-20
RFI_15BB_BTN_VS_NONE_rfi_15bb_btn_bba,rfi_15bb_btn_bba,rfi 15bb BTN vs NONE,15,rfi,BTN,NONE,BBA_APP_DEFAULT,MTT_BBA_PRE_FLOP,"JAM,FOLD",approved,approved_snapshot,HIGH_APPROVED,FULL_169_RESOLVED,KEEP_APPROVED_DO_NOT_OVERWRITE,VISIBLE_DEFAULT,FALSE,OWNER_ALREADY_APPROVED,"Approved RFI baseline for BTN at 15bb. Use as main default. Live exploit: open disciplined early, steal wider late when blinds overfold.","2025-2026 public sources support a GTO-baseline-plus-live-population approach: late-position steal pressure when blinds overfold, tighter responses to large opens and value-heavy 3-bets, linear/value-heavy 3-betting versus under-4-betting pools, and avoiding static push/fold-only assumptions.",Open chart baseline; widen CO/BTN/SB only when blinds are tight; tighten early if table is 3-bet active.,NO_MAJOR_CURRENT_FLAG,"AJo,KQo,A5s,A9s,K9s,77,55,ATo,KJo,QJs",CREATE_OR_UPDATE_REVIEW_SCENARIO_RECORD_ONLY,SAFE_TO_SHOW_FOR_REVIEW_WITH_STATUS_LABELS,NO_EMPTY_FIELDS_USE_NOT_APPLICABLE_OR_SOURCE_REQUIRED,2026-05-20
RFI_15BB_SB_VS_NONE_rfi_15bb_sb_bba,rfi_15bb_sb_bba,rfi 15bb SB vs NONE,15,rfi,SB,NONE,BBA_APP_DEFAULT,MTT_BBA_PRE_FLOP,"JAM,FOLD",approved,approved_snapshot,HIGH_APPROVED,FULL_169_RESOLVED,KEEP_APPROVED_DO_NOT_OVERWRITE,VISIBLE_DEFAULT,FALSE,OWNER_ALREADY_APPROVED,"Approved RFI baseline for SB at 15bb. Use as main default. Live exploit: open disciplined early, steal wider late when blinds overfold.","2025-2026 public sources support a GTO-baseline-plus-live-population approach: late-position steal pressure when blinds overfold, tighter responses to large opens and value-heavy 3-bets, linear/value-heavy 3-betting versus under-4-betting pools, and avoiding static push/fold-only assumptions.",Open chart baseline; widen CO/BTN/SB only when blinds are tight; tighten early if table is 3-bet active.,NO_MAJOR_CURRENT_FLAG,"AJo,KQo,A5s,A9s,K9s,77,55,ATo,KJo,QJs",CREATE_OR_UPDATE_REVIEW_SCENARIO_RECORD_ONLY,SAFE_TO_SHOW_FOR_REVIEW_WITH_STATUS_LABELS,NO_EMPTY_FIELDS_USE_NOT_APPLICABLE_OR_SOURCE_REQUIRED,2026-05-20
RFI_25BB_UTG_VS_NONE_rfi_25bb_utg_bba,rfi_25bb_utg_bba,rfi 25bb UTG vs NONE,25,rfi,UTG,NONE,BBA_APP_DEFAULT,MTT_BBA_PRE_FLOP,"RAISE,FOLD",approved,approved_snapshot,HIGH_APPROVED,FULL_169_RESOLVED,KEEP_APPROVED_DO_NOT_OVERWRITE,VISIBLE_DEFAULT,FALSE,OWNER_ALREADY_APPROVED,"Approved RFI baseline for UTG at 25bb. Use as main default. Live exploit: open disciplined early, steal wider late when blinds overfold.","2025-2026 public sources support a GTO-baseline-plus-live-population approach: late-position steal pressure when blinds overfold, tighter responses to large opens and value-heavy 3-bets, linear/value-heavy 3-betting versus under-4-betting pools, and avoiding static push/fold-only assumptions.",Open chart baseline; widen CO/BTN/SB only when blinds are tight; tighten early if table is 3-bet active.,NO_MAJOR_CURRENT_FLAG,"AJo,KQo,A5s,A9s,K9s,77,55,ATo,KJo,QJs",CREATE_OR_UPDATE_REVIEW_SCENARIO_RECORD_ONLY,SAFE_TO_SHOW_FOR_REVIEW_WITH_STATUS_LABELS,NO_EMPTY_FIELDS_USE_NOT_APPLICABLE_OR_SOURCE_REQUIRED,2026-05-20
RFI_25BB_HJ_VS_NONE_rfi_25bb_hj_bba,rfi_25bb_hj_bba,rfi 25bb HJ vs NONE,25,rfi,HJ,NONE,BBA_APP_DEFAULT,MTT_BBA_PRE_FLOP,"RAISE,FOLD",approved,approved_snapshot,HIGH_APPROVED,FULL_169_RESOLVED,KEEP_APPROVED_DO_NOT_OVERWRITE,VISIBLE_DEFAULT,FALSE,OWNER_ALREADY_APPROVED,"Approved RFI baseline for HJ at 25bb. Use as main default. Live exploit: open disciplined early, steal wider late when blinds overfold.","2025-2026 public sources support a GTO-baseline-plus-live-population approach: late-position steal pressure when blinds overfold, tighter responses to large opens and value-heavy 3-bets, linear/value-heavy 3-betting versus under-4-betting pools, and avoiding static push/fold-only assumptions.",Open chart baseline; widen CO/BTN/SB only when blinds are tight; tighten early if table is 3-bet active.,NO_MAJOR_CURRENT_FLAG,"AJo,KQo,A5s,A9s,K9s,77,55,ATo,KJo,QJs",CREATE_OR_UPDATE_REVIEW_SCENARIO_RECORD_ONLY,SAFE_TO_SHOW_FOR_REVIEW_WITH_STATUS_LABELS,NO_EMPTY_FIELDS_USE_NOT_APPLICABLE_OR_SOURCE_REQUIRED,2026-05-20
RFI_25BB_CO_VS_NONE_rfi_25bb_co_bba,rfi_25bb_co_bba,rfi 25bb CO vs NONE,25,rfi,CO,NONE,BBA_APP_DEFAULT,MTT_BBA_PRE_FLOP,"RAISE,FOLD",approved,approved_snapshot,HIGH_APPROVED,FULL_169_RESOLVED,KEEP_APPROVED_DO_NOT_OVERWRITE,VISIBLE_DEFAULT,FALSE,OWNER_ALREADY_APPROVED,"Approved RFI baseline for CO at 25bb. Use as main default. Live exploit: open disciplined early, steal wider late when blinds overfold.","2025-2026 public sources support a GTO-baseline-plus-live-population approach: late-position steal pressure when blinds overfold, tighter responses to large opens and value-heavy 3-bets, linear/value-heavy 3-betting versus under-4-betting pools, and avoiding static push/fold-only assumptions.",Open chart baseline; widen CO/BTN/SB only when blinds are tight; tighten early if table is 3-bet active.,NO_MAJOR_CURRENT_FLAG,"AJo,KQo,A5s,A9s,K9s,77,55,ATo,KJo,QJs",CREATE_OR_UPDATE_REVIEW_SCENARIO_RECORD_ONLY,SAFE_TO_SHOW_FOR_REVIEW_WITH_STATUS_LABELS,NO_EMPTY_FIELDS_USE_NOT_APPLICABLE_OR_SOURCE_REQUIRED,2026-05-20
RFI_25BB_BTN_VS_NONE_rfi_25bb_btn_bba,rfi_25bb_btn_bba,rfi 25bb BTN vs NONE,25,rfi,BTN,NONE,BBA_APP_DEFAULT,MTT_BBA_PRE_FLOP,"RAISE,FOLD",approved,approved_snapshot,HIGH_APPROVED,FULL_169_RESOLVED,KEEP_APPROVED_DO_NOT_OVERWRITE,VISIBLE_DEFAULT,FALSE,OWNER_ALREADY_APPROVED,"Approved RFI baseline for BTN at 25bb. Use as main default. Live exploit: open disciplined early, steal wider late when blinds overfold.","2025-2026 public sources support a GTO-baseline-plus-live-population approach: late-position steal pressure when blinds overfold, tighter responses to large opens and value-heavy 3-bets, linear/value-heavy 3-betting versus under-4-betting pools, and avoiding static push/fold-only assumptions.",Open chart baseline; widen CO/BTN/SB only when blinds are tight; tighten early if table is 3-bet active.,NO_MAJOR_CURRENT_FLAG,"AJo,KQo,A5s,A9s,K9s,77,55,ATo,KJo,QJs",CREATE_OR_UPDATE_REVIEW_SCENARIO_RECORD_ONLY,SAFE_TO_SHOW_FOR_REVIEW_WITH_STATUS_LABELS,NO_EMPTY_FIELDS_USE_NOT_APPLICABLE_OR_SOURCE_REQUIRED,2026-05-20
RFI_25BB_SB_VS_NONE_rfi_25bb_sb_bba,rfi_25bb_sb_bba,rfi 25bb SB vs NONE,25,rfi,SB,NONE,BBA_APP_DEFAULT,MTT_BBA_PRE_FLOP,"RAISE,FOLD",approved,approved_snapshot,HIGH_APPROVED,FULL_169_RESOLVED,KEEP_APPROVED_DO_NOT_OVERWRITE,VISIBLE_DEFAULT,FALSE,OWNER_ALREADY_APPROVED,"Approved RFI baseline for SB at 25bb. Use as main default. Live exploit: open disciplined early, steal wider late when blinds overfold.","2025-2026 public sources support a GTO-baseline-plus-live-population approach: late-position steal pressure when blinds overfold, tighter responses to large opens and value-heavy 3-bets, linear/value-heavy 3-betting versus under-4-betting pools, and avoiding static push/fold-only assumptions.",Open chart baseline; widen CO/BTN/SB only when blinds are tight; tighten early if table is 3-bet active.,NO_MAJOR_CURRENT_FLAG,"AJo,KQo,A5s,A9s,K9s,77,55,ATo,KJo,QJs",CREATE_OR_UPDATE_REVIEW_SCENARIO_RECORD_ONLY,SAFE_TO_SHOW_FOR_REVIEW_WITH_STATUS_LABELS,NO_EMPTY_FIELDS_USE_NOT_APPLICABLE_OR_SOURCE_REQUIRED,2026-05-20
